"target","Predicted_classes"
"insecta-ant-colony4-day35","SF"
"insecta-ant-colony4-day36","Spatial"
"insecta-ant-colony4-day37","Spatial"
"insecta-ant-colony4-day38","Spatial"
"insecta-ant-colony4-day39","Spatial"
"insecta-ant-colony4-day40","Spatial"
"insecta-ant-colony4-day41","Spatial"
"insecta-ant-colony4","ER"
"insecta-ant-colony5-day01","Spatial"
"insecta-ant-colony5-day02","Spatial"
"insecta-ant-colony5-day03","Spatial"
"insecta-ant-colony5-day04","Spatial"
"insecta-ant-colony5-day05","Spatial"
"insecta-ant-colony5-day06","Spatial"
"insecta-ant-colony5-day07","Spatial"
"insecta-ant-colony5-day08","Spatial"
"insecta-ant-colony5-day09","Spatial"
"insecta-ant-colony5-day10","Spatial"
"insecta-ant-colony5-day11","Spatial"
"insecta-ant-colony5-day12","Spatial"
"insecta-ant-colony5-day13","Spatial"
"insecta-ant-colony5-day14","Spatial"
"insecta-ant-colony5-day15","Spatial"
"insecta-ant-colony5-day16","Spatial"
"insecta-ant-colony5-day17","Spatial"
"insecta-ant-colony5-day18","Spatial"
"insecta-ant-colony5-day19","Spatial"
"insecta-ant-colony5-day20","Spatial"
"insecta-ant-colony5-day21","Spatial"
"insecta-ant-colony5-day22","Spatial"
"insecta-ant-colony5-day23","Spatial"
"insecta-ant-colony5-day24","Spatial"
"insecta-ant-colony5-day25","Spatial"
"insecta-ant-colony5-day26","Spatial"
"insecta-ant-colony5-day27","Spatial"
"insecta-ant-colony5-day28","Spatial"
"insecta-ant-colony5-day29","Spatial"
"insecta-ant-colony5-day30","Spatial"
"insecta-ant-colony5-day31","Spatial"
"insecta-ant-colony5-day32","Spatial"
"insecta-ant-colony5-day33","Spatial"
"insecta-ant-colony5-day34","Spatial"
"insecta-ant-colony5-day35","Spatial"
"insecta-ant-colony5-day36","Spatial"
"insecta-ant-colony5-day37","Spatial"
"insecta-ant-colony5-day38","Spatial"
"insecta-ant-colony5-day39","Spatial"
"insecta-ant-colony5-day40","Spatial"
"insecta-ant-colony5-day41","Spatial"
"insecta-ant-colony5","ER"
"insecta-ant-colony6-day01","Spatial"
"insecta-ant-colony6-day02","Spatial"
"insecta-ant-colony6-day03","Spatial"
"insecta-ant-colony6-day04","Spatial"
"insecta-ant-colony6-day05","Spatial"
"insecta-ant-colony6-day06","Spatial"
"insecta-ant-colony6-day07","Spatial"
"insecta-ant-colony6-day08","Spatial"
"insecta-ant-colony6-day09","Spatial"
"insecta-ant-colony6-day10","Spatial"
"insecta-ant-colony6-day11","Spatial"
"insecta-ant-colony6-day12","Spatial"
"insecta-ant-colony6-day13","Spatial"
"insecta-ant-colony6-day14","Spatial"
"insecta-ant-colony6-day15","Spatial"
"insecta-ant-colony6-day16","Spatial"
"insecta-ant-colony6-day17","Spatial"
"insecta-ant-colony6-day18","Spatial"
"insecta-ant-colony6-day19","Spatial"
"insecta-ant-colony6-day20","Spatial"
"insecta-ant-colony6-day21","Spatial"
"insecta-ant-colony6-day22","Spatial"
"insecta-ant-colony6-day23","Spatial"
"insecta-ant-colony6-day24","Spatial"
"insecta-ant-colony6-day25","Spatial"
"insecta-ant-colony6-day26","Spatial"
"insecta-ant-colony6-day27","Spatial"
"insecta-ant-colony6-day28","Spatial"
"insecta-ant-colony6-day29","Spatial"
"insecta-ant-colony6-day30","Spatial"
"insecta-ant-colony6-day31","Spatial"
"insecta-ant-colony6-day32","Spatial"
"insecta-ant-colony6-day33","Spatial"
"insecta-ant-colony6-day34","Spatial"
"insecta-ant-colony6-day35","Spatial"
"insecta-ant-colony6-day36","Spatial"
"insecta-ant-colony6-day37","Spatial"
"insecta-ant-colony6-day38","Spatial"
"insecta-ant-colony6-day39","Spatial"
"insecta-ant-colony6","ER"
"insecta-ant-trophallaxis-colony1-day1","SF"
"insecta-ant-trophallaxis-colony1-day2","ER"
"insecta-ant-trophallaxis-colony1-day3","SF"
"insecta-ant-trophallaxis-colony1-day4","ER"
"insecta-ant-trophallaxis-colony1-day5","SF"
"insecta-ant-trophallaxis-colony1-day7","ER"
"insecta-ant-trophallaxis-colony1-day8","ER"
"insecta-ant-trophallaxis-colony1","SF"
"insecta-ant-trophallaxis-colony2-day1","SF"
"insecta-ant-trophallaxis-colony2-day2","ER"
"insecta-ant-trophallaxis-colony2-day3","ER"
"insecta-ant-trophallaxis-colony2-day4","SF"
"insecta-ant-trophallaxis-colony2-day5","ER"
"insecta-ant-trophallaxis-colony2-day6","SF"
"insecta-ant-trophallaxis-colony2-day7","SF"
"insecta-ant-trophallaxis-colony2-day8","SF"
"insecta-ant-trophallaxis-colony2","SF"
"insecta-beetle-group-c1-period-1","sbm"
"insecta-beetle-group-c1-period-2","SF"
"insecta-beetle-group-c2-period-1","SF"
"insecta-beetle-group-c2-period-2","SF"
"insecta-beetle-group-c3-period-1","ER"
"insecta-beetle-group-c3-period-2","SF"
"insecta-beetle-group-c4-period-1","sbm"
"insecta-beetle-group-c4-period-2","ER"
"insecta-beetle-group-t1-period-1","SF"
"insecta-beetle-group-t2-period-1","SF"
"insecta-beetle-group-t3-period-1","sbm"
"insecta-beetle-group-t4-period-1","SF"
"mammalia-asianelephant","ER"
"mammalia-baboon-association-group03","SF"
"mammalia-baboon-association-group07","ER"
"mammalia-baboon-association-group08","SF"
"mammalia-baboon-association-group09","SF"
"mammalia-baboon-association-group10","SF"
"mammalia-baboon-association-group11","SF"
"mammalia-baboon-association-group19","SF"
"mammalia-baboon-association-group20","ER"
"mammalia-baboon-association-group23","SF"
"mammalia-baboon-association-group27","ER"
"mammalia-baboon-association-group28","ER"
"mammalia-baboon-association-group29","ER"
"mammalia-baboon-grooming-group03","SF"
"mammalia-baboon-grooming-group07","ER"
"mammalia-baboon-grooming-group08","SF"
"mammalia-baboon-grooming-group09","ER"
"mammalia-baboon-grooming-group10","sbm"
"mammalia-baboon-grooming-group11","ER"
"mammalia-baboon-grooming-group19","sbm"
"mammalia-baboon-grooming-group20","sbm"
"mammalia-baboon-grooming-group23","SF"
"mammalia-baboon-grooming-group25","ER"
"mammalia-baboon-grooming-group26","SF"
"mammalia-baboon-grooming-group27","SF"
"mammalia-baboon-grooming-group28","ER"
"mammalia-baboon-grooming-group29","sbm"
"mammalia-bat-roosting-indiana","Spatial"
