"graph_name","component_mode","0%","10%","20%","30%","40%","50%","60%","70%","80%","90%"
"insecta-ant-colony1-day31","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA
"insecta-ant-colony1-day31","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day32","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony1-day32","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony1-day33","full_network","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,"Spatial","Spatial","SF"
"insecta-ant-colony1-day33","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day34","full_network","Spatial",NA,NA,NA,NA,NA,"Spatial","SF","SF","SF"
"insecta-ant-colony1-day34","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF","SF"
"insecta-ant-colony1-day35","full_network","Spatial",NA,NA,NA,NA,"Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day35","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day36","full_network","Spatial","Spatial",NA,NA,NA,NA,NA,NA,NA,NA
"insecta-ant-colony1-day36","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF","SF"
"insecta-ant-colony1-day37","full_network","Spatial","Spatial",NA,"Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony1-day37","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony1-day38","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,"SF","SF"
"insecta-ant-colony1-day38","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF","SF"
"insecta-ant-colony1-day39","full_network","Spatial",NA,NA,NA,NA,NA,NA,"Spatial","SF","SF"
"insecta-ant-colony1-day39","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony1-day40","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF","SF"
"insecta-ant-colony1-day40","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF","SF"
"insecta-ant-colony1-day41","full_network","Spatial",NA,NA,NA,NA,NA,NA,"Spatial",NA,"SF"
"insecta-ant-colony1-day41","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1","full_network","Spatial","Spatial","Spatial","Spatial",NA,"Spatial","Spatial","Spatial",NA,NA
"insecta-ant-colony1","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony2-day01","full_network","Spatial",NA,NA,NA,NA,"Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony2-day01","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony2-day02","full_network","Spatial",NA,NA,NA,NA,NA,NA,"Spatial","SF",NA
"insecta-ant-colony2-day02","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony2-day03","full_network","Spatial","Spatial","Spatial","Spatial",NA,NA,"Spatial","SF","SF","SF"
"insecta-ant-colony2-day03","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF","SF"
"insecta-ant-colony2-day04","full_network","Spatial","Spatial","Spatial",NA,NA,"Spatial","Spatial","Spatial",NA,"SF"
"insecta-ant-colony2-day04","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony2-day05","full_network","Spatial",NA,NA,"Spatial","Spatial",NA,"Spatial","SF","SF","SF"
"insecta-ant-colony2-day05","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF","SF"
"insecta-ant-colony2-day06","full_network","Spatial",NA,NA,NA,"Spatial","Spatial",NA,"Spatial","SF",NA
"insecta-ant-colony2-day06","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony2-day07","full_network","Spatial","Spatial","Spatial","Spatial","Spatial",NA,"Spatial","Spatial","SF","SF"
"insecta-ant-colony2-day07","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony2-day08","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF",NA
"insecta-ant-colony2-day08","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF","SF"
"insecta-ant-colony2-day09","full_network","Spatial",NA,NA,NA,NA,NA,"Spatial",NA,"SF","SF"
"insecta-ant-colony2-day09","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony2-day10","full_network","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA,NA,NA
"insecta-ant-colony2-day10","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF","SF"
"insecta-ant-colony2-day11","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"insecta-ant-colony2-day11","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF","SF"
"insecta-ant-colony2-day12","full_network","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA
"insecta-ant-colony2-day12","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony2-day13","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA
