"Graph.Name","Captive","Interaction_type","Data_collection","Species","Data_duration_days","Class","target","Predicted_classes"
"insecta-ant-colony1-day07","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day07","Geometric Graphs"
"insecta-ant-colony1-day08","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day08","Geometric Graphs"
"insecta-ant-colony1-day09","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day09","Geometric Graphs"
"insecta-ant-colony1-day10","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day10","Geometric Graphs"
"insecta-ant-colony1-day11","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day11","Geometric Graphs"
"insecta-ant-colony1-day12","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day12","Geometric Graphs"
"insecta-ant-colony1-day13","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day13","Geometric Graphs"
"insecta-ant-colony1-day14","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day14","Geometric Graphs"
"insecta-ant-colony1-day15","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day15","Geometric Graphs"
"insecta-ant-colony1-day16","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day16","Geometric Graphs"
"insecta-ant-colony1-day17","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day17","Geometric Graphs"
"insecta-ant-colony1-day18","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day18","Geometric Graphs"
"insecta-ant-colony1-day19","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day19","Geometric Graphs"
"insecta-ant-colony1-day20","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day20","Geometric Graphs"
