target,Predicted_classes,order,edges,mean_eccentr,mean_path_length,graph_energy,modularity,diameter,betw_centr,transitivity,spectral_radius,eigen_centr,deg_centr,mean_degree,min_cut,fiedler_value,normalized_fiedler_value,closeness_centr,deg_assort_coef,graph_name,Graph.Name,Captive,Interaction_type,Data_collection,Species,Data_duration_days,Class,Time_resolution_secs
aves-thornbill-farine,Spatial,62,1151,2,1.39132734,190.8401497,0.050719693,2,0.020014911,0.757585581,41.17262578,0.290021425,0.292966684,37.12903226,8,7.60134363,0.616435485,0.012020868,-0.052011443,aves-thornbill-farine,aves-thornbill-farine,No,Group_membership,survey_scan,Acanthiza_sp,60,Aves,Focal_follow
aves-weaver-social-00,Spatial,15,25,5.533333333,2.99047619,22.84117723,0.5048,7,0.412872841,0.652173913,4.1195717,0.684383253,0.119047619,3.333333333,1,0.124576941,0.045418699,0.02492364,0.229691877,aves-weaver-social-00,aves-weaver-social-00,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social-03,Spatial,42,152,4.571428571,2.444831591,81.4784873,0.417200485,6,0.401160024,0.595847751,11.04198169,0.731336775,0.481997677,7.238095238,2,0.229745361,0.05618222,0.010466126,-0.004775081,aves-weaver-social-03,aves-weaver-social-03,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social-05,Spatial,13,19,4.692307692,2.628205128,17.62997717,0.425207756,6,0.512626263,0.634615385,4.115556628,0.661978826,0.173076923,2.923076923,1,0.171206681,0.071280883,0.033000037,0.090425532,aves-weaver-social-05,aves-weaver-social-05,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social-06,Spatial,19,64,3.473684211,2.128654971,35.74527636,0.36706543,4,0.461147422,0.753731343,7.770648666,0.567779581,0.236842105,6.736842105,3,0.37356353,0.062191335,0.0268157,0.152607153,aves-weaver-social-06,aves-weaver-social-06,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social-08,SF,28,115,2.892857143,1.82010582,57.78934167,0.281172023,3,0.220013113,0.560856865,9.91958892,0.564522179,0.399470899,8.214285714,2,1.629160029,0.286731151,0.020696707,-0.117426833,aves-weaver-social-08,aves-weaver-social-08,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social-09,Spatial,12,36,2.416666667,1.515151515,21.21455413,0.126929012,3,0.168595041,0.695652174,6.759785131,0.371797438,0.272727273,6,1,0.926274144,0.511281623,0.061723314,-0.034666667,aves-weaver-social-09,aves-weaver-social-09,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social-10,SF,14,20,4.714285714,2.615384615,18.30376744,0.38875,6,0.462524655,0.55,4.259083762,0.685109162,0.318681319,2.857142857,1,0.182175588,0.107506261,0.031031087,-0.03030303,aves-weaver-social-10,aves-weaver-social-10,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social-11,SF,37,98,5.405405405,2.867867868,64.65173208,0.465691379,7,0.518630099,0.503816794,8.155153974,0.745973812,0.380630631,5.297297297,1,0.114868924,0.04674557,0.01023568,0.014903235,aves-weaver-social-11,aves-weaver-social-11,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social-12,Spatial,31,91,4.612903226,2.447311828,55.38442516,0.311616954,6,0.332720337,0.557926829,8.713098945,0.627238912,0.337634409,5.870967742,1,0.332273562,0.14397157,0.014268489,0.097652367,aves-weaver-social-12,aves-weaver-social-12,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social-13,Spatial,27,113,4.148148148,2.131054131,49.83759874,0.19065706,6,0.14608089,0.726739313,11.93399053,0.504911267,0.293447293,8.37037037,1,0.369790128,0.238979038,0.019205863,0.133104973,aves-weaver-social-13,aves-weaver-social-13,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social-14,Spatial,11,38,1.909090909,1.309090909,20.21156218,0.04432133,2,0.093,0.764940239,7.456624992,0.282597223,0.309090909,6.909090909,3,2.941186416,0.742560437,0.078530093,-0.393809268,aves-weaver-social-14,aves-weaver-social-14,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social-16,SF,64,177,5.0625,3.043650794,110.3196729,0.51522551,6,0.269743289,0.477532369,9.289051207,0.802977621,0.245535714,5.53125,1,0.272386333,0.066210379,0.005373447,-0.029052051,aves-weaver-social-16,aves-weaver-social-16,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social-19,SF,17,71,2,1.477941176,35.61938254,0.12894267,2,0.152083333,0.679802956,9.429561197,0.416843958,0.415441176,8.352941176,4,2.645817297,0.498623406,0.043115056,-0.228446187,aves-weaver-social-19,aves-weaver-social-19,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social-20,Spatial,14,62,1.928571429,1.318681319,27.22504244,0.127861602,2,0.094773176,0.797752809,9.533422492,0.288881459,0.318681319,8.857142857,4,3.6126504,0.562382703,0.059639952,-0.224328594,aves-weaver-social-20,aves-weaver-social-20,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social-21,Spatial,14,58,1.857142857,1.362637363,27.15845344,0.084274673,2,0.094937541,0.728033473,9.034895489,0.330425376,0.362637363,8.285714286,4,3.475528595,0.637340187,0.058002832,-0.345125786,aves-weaver-social-21,aves-weaver-social-21,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social-22,SF,24,62,3.25,2.112318841,41.34562495,0.33103538,4,0.520241573,0.544080605,7.210095518,0.668865764,0.471014493,5.166666667,1,0.517467052,0.168869186,0.021338474,-0.18374239,aves-weaver-social-22,aves-weaver-social-22,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-weaver-social,SF,117,304,8.846153846,4.469938108,198.0250736,0.665750519,12,0.244701183,0.472496474,9.340051157,0.874298913,0.136236369,5.196581197,1,0.070138764,0.018218792,0.002013348,0.062026142,aves-weaver-social,aves-weaver-social,No,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,Aves,Focal_follow
aves-wildbird-network-1,Spatial,131,1444,4.93129771,2.733294187,332.2301607,0.536787768,6,0.325984172,0.685667793,33.22709409,0.715706303,0.26887845,22.04580153,1,0.044331295,0.002330093,0.002922599,0.207071225,aves-wildbird-network-1,aves-wildbird-network-1,No,Social_projection_bipartite,RFID,NA,6,Aves,Very_fine
aves-wildbird-network-2,SF,82,1170,2.804878049,1.776272207,239.1940856,0.193883775,3,0.14465075,0.639815007,37.73192358,0.501578633,0.413128576,28.53658537,1,0.944366693,0.213637621,0.007174795,-0.146789207,aves-wildbird-network-2,aves-wildbird-network-2,No,Social_projection_bipartite,RFID,NA,6,Aves,Very_fine
aves-wildbird-network-3,Spatial,126,1615,4.571428571,2.382984127,331.653438,0.267409445,6,0.367458289,0.68202765,42.10728445,0.623126194,0.258920635,25.63492063,2,0.476941021,0.039017556,0.003502354,0.370435042,aves-wildbird-network-3,aves-wildbird-network-3,No,Social_projection_bipartite,RFID,NA,6,Aves,Very_fine
aves-wildbird-network-4,Spatial,93,1689,2.76344086,1.682328191,272.5669864,0.128124166,4,0.074774821,0.716316652,48.76288679,0.429282862,0.376928471,36.32258065,2,1.655735073,0.43636771,0.006694772,-0.16318238,aves-wildbird-network-4,aves-wildbird-network-4,No,Social_projection_bipartite,RFID,NA,6,Aves,Very_fine
aves-wildbird-network-5,Spatial,145,2512,3.372413793,2.09243295,413.8659138,0.246185428,4,0.220033732,0.711056259,53.93080581,0.599737311,0.30105364,34.64827586,1,0.847557873,0.052820409,0.003425802,0.259785584,aves-wildbird-network-5,aves-wildbird-network-5,No,Social_projection_bipartite,RFID,NA,6,Aves,Very_fine
aves-wildbird-network-6,Spatial,136,2798,3.602941176,2.041830065,401.7969389,0.226608177,4,0.173241507,0.767340615,60.41345515,0.532087153,0.295206972,41.14705882,1,0.906801959,0.04199644,0.003755416,0.413396767,aves-wildbird-network-6,aves-wildbird-network-6,No,Social_projection_bipartite,RFID,NA,6,Aves,Very_fine
aves-wildbird-network,Spatial,202,4574,3.361386139,2.105117974,648.0703514,0.265972511,4,0.121856012,0.702732867,72.92494172,0.613326346,0.321954584,45.28712871,2,1.296632339,0.05599113,0.002433623,0.235780585,aves-wildbird-network,aves-wildbird-network,No,Social_projection_bipartite,RFID,NA,6,Aves,Very_fine
Badger-Autumn1.csv ,Spatial,20,56,4.9,2.747368421,33.09348082,0.503985969,6,0.440751,0.803389831,7.022381566,0.644964178,0.126315789,5.6,1,0.13459824,0.026169265,0.019854859,0.627588828,Badger_Autumn1.csv ,Badger-Autumn1.csv ,No,Spatial_proximity,RFID,Meles_meles,90,Mammalia,Very_fine
Badger-Autumn2.csv ,Spatial,14,40,3.428571429,1.956043956,23.84661144,0.34875,4,0.49408284,0.870967742,7.049937763,0.479438305,0.252747253,5.714285714,2,0.39483841,0.089704667,0.040599425,0.530580005,Badger_Autumn2.csv ,Badger-Autumn2.csv ,No,Spatial_proximity,RFID,Meles_meles,90,Mammalia,Very_fine
Badger-Autumn3.csv ,Spatial,26,67,5.5,2.747692308,43.65224294,0.478280241,7,0.22970254,0.584527221,6.608972889,0.61410319,0.153846154,5.153846154,1,0.162391679,0.092751756,0.015229272,0.246478481,Badger_Autumn3.csv ,Badger-Autumn3.csv ,No,Spatial_proximity,RFID,Meles_meles,90,Mammalia,Very_fine
Badger-Autumn4.csv ,Spatial,41,116,6.731707317,3.941463415,70.2571681,0.70091409,8,0.443076923,0.771293375,8.030493872,0.809204532,0.083536585,5.658536585,1,0.04537297,0.009193819,0.006552953,0.42493542,Badger_Autumn4.csv ,Badger-Autumn4.csv ,No,Spatial_proximity,RFID,Meles_meles,90,Mammalia,Very_fine
Badger-Spring1.csv ,Spatial,25,71,4.4,2.826666667,42.51339766,0.544435628,5,0.498041034,0.744245524,7.416865497,0.702163928,0.18,5.68,1,0.120083411,0.020757167,0.015064872,0.266191091,Badger_Spring1.csv ,Badger-Spring1.csv ,No,Spatial_proximity,RFID,Meles_meles,90,Mammalia,Very_fine
Badger-Spring2.csv ,Spatial,16,43,3.3125,2.025,25.90933737,0.288534343,4,0.327407407,0.768292683,7.258962234,0.510602125,0.241666667,5.375,1,0.293491037,0.170941931,0.03451435,0.440219253,Badger_Spring2.csv ,Badger-Spring2.csv ,No,Spatial_proximity,RFID,Meles_meles,90,Mammalia,Very_fine
Badger-Spring3.csv ,Spatial,14,22,5.428571429,2.868131868,20.28327991,0.445247934,7,0.416831032,0.578947368,3.94059512,0.6823978,0.142857143,3.142857143,1,0.153667447,0.05292407,0.027947116,0.228070175,Badger_Spring3.csv ,Badger-Spring3.csv ,No,Spatial_proximity,RFID,Meles_meles,90,Mammalia,Very_fine
Badger-Summer1.csv ,Spatial,38,108,6.368421053,3.523470839,65.38407487,0.654106653,8,0.390633877,0.721581549,8.10130881,0.778152581,0.116642959,5.684210526,2,0.096196693,0.018088652,0.007925045,0.349293214,Badger_Summer1.csv ,Badger-Summer1.csv ,No,Spatial_proximity,RFID,Meles_meles,90,Mammalia,Very_fine
Badger-Summer2.csv ,Spatial,24,64,4.625,2.420289855,40.8938596,0.429443359,6,0.168060295,0.566197183,6.895431324,0.625715504,0.202898551,5.333333333,1,0.28559473,0.117973031,0.018713837,0.101611102,Badger_Summer2.csv ,Badger-Summer2.csv ,No,Spatial_proximity,RFID,Meles_meles,90,Mammalia,Very_fine
Badger-Summer3.csv ,Spatial,35,103,6,3.240336134,60.10318917,0.591667452,8,0.53552975,0.721461187,8.536031472,0.669546931,0.238655462,5.885714286,1,0.103150874,0.033131235,0.009609042,0.476668945,Badger_Summer3.csv ,Badger-Summer3.csv ,No,Spatial_proximity,RFID,Meles_meles,90,Mammalia,Very_fine
Badger-Summer4.csv ,Spatial,23,75,4.652173913,2.505928854,40.27843934,0.548266667,6,0.439233242,0.815217391,8.110637128,0.606414512,0.112648221,6.52173913,2,0.222871915,0.041394139,0.018837692,0.534282018,Badger_Summer4.csv ,Badger-Summer4.csv ,No,Spatial_proximity,RFID,Meles_meles,90,Mammalia,Very_fine
Badger-Winter2.csv ,Spatial,20,52,5.95,3.094736842,31.92003247,0.460983728,7,0.43151739,0.87544484,7.623727405,0.624508309,0.2,5.2,1,0.090035193,0.026464925,0.017775265,0.817008798,Badger_Winter2.csv ,Badger-Winter2.csv ,No,Spatial_proximity,RFID,Meles_meles,90,Mammalia,Very_fine
Badger-Winter3.csv ,Spatial,34,91,6.147058824,3.322638146,56.44651146,0.556152639,8,0.309724955,0.698473282,8.305281206,0.743322127,0.140819964,5.352941176,1,0.12907592,0.026072159,0.009449411,0.612163573,Badger_Winter3.csv ,Badger-Winter3.csv ,No,Spatial_proximity,RFID,Meles_meles,90,Mammalia,Very_fine
Badger-Winter4.csv ,Spatial,32,77,6.8125,3.413306452,50.97849265,0.540984989,9,0.369046133,0.643391521,7.211681949,0.757905374,0.135080645,4.8125,1,0.11236931,0.028154541,0.009852569,0.264533736,Badger_Winter4.csv ,Badger-Winter4.csv ,No,Spatial_proximity,RFID,Meles_meles,90,Mammalia,Very_fine
Chimp--AugSRI-G-Matrix.csv ,Spatial,36,624,1.194444444,1.00952381,72.12153916,0,2,6.95E-05,0.991724925,34.69535011,0.008960291,0.00952381,34.66666667,29,29,0.956453642,0.028323009,-0.074538745,Chimp__AugSRI_G_Matrix.csv ,Chimp--AugSRI-G-Matrix.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Very_fine
Chimp--DecSRI-G-Matrix.csv ,Spatial,28,308,2.5,1.21957672,57.37200729,0.008185402,3,0.068059513,0.941218741,23.60014324,0.129900966,0.148148148,22,1,0.961242198,0.691583822,0.031446801,-0.022324204,Chimp__DecSRI_G_Matrix.csv ,Chimp--DecSRI-G-Matrix.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Very_fine
Chimp--JunSRI-G-Matrix.csv ,Spatial,33,479,2.060606061,1.09469697,70.65526632,0.002118192,3,0.007434046,0.955306049,29.80666304,0.064531496,0.06155303,29.03030303,6,5.975236138,0.82503062,0.028940775,-0.060395235,Chimp__JunSRI_G_Matrix.csv ,Chimp--JunSRI-G-Matrix.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Very_fine
Chimp-Apr-Prob5-MatrixNoNAs.csv ,SF,32,130,2.84375,1.887096774,64.08740017,0.254881657,3,0.262717065,0.487179487,10.58810286,0.551494963,0.415322581,8.125,1,0.905006324,0.35952685,0.017463902,-0.262014507,Chimp_Apr_Prob5_MatrixNoNAs.csv ,Chimp-Apr-Prob5-MatrixNoNAs.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Very_fine
Chimp-AprSRI-G-Matrix.csv ,Spatial,33,524,1.151515152,1.007575758,65.47782886,0,2,4.50E-05,0.993054694,31.77367886,0.007300682,0.007575758,31.75757576,28,28,0.967219614,0.031029997,-0.079299691,Chimp_AprSRI_G_Matrix.csv ,Chimp-AprSRI-G-Matrix.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Fine
Chimp-Aug-Prob5-MatrixNoNAs.csv ,SF,35,229,2.628571429,1.685714286,82.78307381,0.243845464,3,0.097689634,0.596649085,14.9935158,0.431248243,0.321008403,13.08571429,1,0.974859175,0.309953448,0.017746511,-0.155787048,Chimp_Aug_Prob5_MatrixNoNAs.csv ,Chimp-Aug-Prob5-MatrixNoNAs.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Very_fine
Chimp-Dec-Prob5-MatrixNoNAs.csv ,Spatial,26,157,2.538461538,1.584615385,56.20399221,0.235039961,3,0.072476038,0.682643794,13.61361786,0.396404023,0.276923077,12.07692308,1,0.960578083,0.410049251,0.025844831,-0.048127402,Chimp_Dec_Prob5_MatrixNoNAs.csv ,Chimp-Dec-Prob5-MatrixNoNAs.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Very_fine
Chimp-Feb-Prob5-MatrixNoNAs.csv ,Spatial,31,348,2,1.251612903,74.92559308,0.025762981,2,0.021404551,0.843290152,23.83023924,0.201145071,0.21827957,22.4516129,6,5.690420974,0.69686086,0.027140812,-0.059640026,Chimp_Feb_Prob5_MatrixNoNAs.csv ,Chimp-Feb-Prob5-MatrixNoNAs.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Very_fine
Chimp-FebSRI-G-Matrix.csv ,Spatial,31,456,1.322580645,1.019354839,62.50515158,0,2,0.000328407,0.98546042,29.50178796,0.017179726,0.019354839,29.41935484,21,21,0.928629994,0.03277302,-0.086231539,Chimp_FebSRI_G_Matrix.csv ,Chimp-FebSRI-G-Matrix.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Fine
Chimp-Jan-Prob5-MatrixNoNAs.csv ,Spatial,33,335,2.575757576,1.429924242,81.60249415,0.006928046,3,0.113015065,0.765966328,22.39314312,0.265153761,0.240530303,20.3030303,1,0.91832534,0.622485468,0.02264337,-0.088204252,Chimp_Jan_Prob5_MatrixNoNAs.csv ,Chimp-Jan-Prob5-MatrixNoNAs.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Very_fine
Chimp-JanSRI-G-Matrix.csv ,Spatial,33,490,1.484848485,1.071969697,71.5599829,0.002330279,2,0.001410947,0.94393641,29.9746705,0.06533321,0.071969697,29.6969697,23,20.43866974,0.835373227,0.029364197,-0.162122488,Chimp_JanSRI_G_Matrix.csv ,Chimp-JanSRI-G-Matrix.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Very_fine
Chimp-Jul-Prob5-MatrixNoNAs.csv ,Spatial,33,315,2.363636364,1.433712121,72.01368792,0.089397833,3,0.099609823,0.855911702,22.38158596,0.306555512,0.340909091,19.09090909,1,0.981523443,0.346829864,0.02252035,0.222708281,Chimp_Jul_Prob5_MatrixNoNAs.csv ,Chimp-Jul-Prob5-MatrixNoNAs.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Fine
Chimp-JulSRI-G-Matrix.csv ,Spatial,37,502,1.918918919,1.246246246,77.88996415,0.060062539,2,0.066694653,0.94540891,29.96691335,0.172373904,0.246246246,27.13513514,8,3.708194195,0.376417124,0.022873396,0.300218636,Chimp_JulSRI_G_Matrix.csv ,Chimp-JulSRI-G-Matrix.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Fine
Chimp-Jun-Prob5-MatrixNoNAs.csv ,Spatial,32,285,2.21875,1.439516129,75.20637903,0.031400431,3,0.061700309,0.790441176,20.95507159,0.28280608,0.264112903,17.8125,3,2.906699247,0.66730208,0.023106533,-0.104486217,Chimp_Jun_Prob5_MatrixNoNAs.csv ,Chimp-Jun-Prob5-MatrixNoNAs.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Very_fine
Chimp-Mar-Prob5-MatrixNoNAs.csv ,Spatial,28,273,2,1.277777778,65.21837248,0.026761395,2,0.029238825,0.832048458,20.93646281,0.220108997,0.203703704,19.5,5,3.923276709,0.638998191,0.029576285,-0.060587232,Chimp_Mar_Prob5_MatrixNoNAs.csv ,Chimp-Mar-Prob5-MatrixNoNAs.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Very_fine
Chimp-MarSRI-G-Matrix.csv ,Spatial,29,392,1.413793103,1.034482759,60.06247709,0,2,0.000536374,0.971509416,27.13615954,0.031994091,0.034482759,27.03448276,20,19.8085175,0.905728113,0.034631627,-0.114175567,Chimp_MarSRI_G_Matrix.csv ,Chimp-MarSRI-G-Matrix.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Fine
Chimp-May-Prob5-MatrixNoNAs.csv ,Spatial,33,342,2,1.352272727,85.91359207,0.065605656,2,0.02615895,0.734233607,21.93435999,0.282831763,0.289772727,20.72727273,11,9.450712984,0.599287188,0.023435724,-0.124160214,Chimp_May_Prob5_MatrixNoNAs.csv ,Chimp-May-Prob5-MatrixNoNAs.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Very_fine
Chimp-MaySRI-G-Matrix.csv ,Spatial,33,511,1.303030303,1.03219697,68.18182219,0,2,0.000378901,0.972999349,31.06733376,0.030086008,0.03219697,30.96969697,25,24.18151919,0.894111604,0.030360857,-0.128918685,Chimp_MaySRI_G_Matrix.csv ,Chimp-MaySRI-G-Matrix.csv ,No,Spatial_proximity,focal_sampling,Pan_troglodytes,30,Mammalia,Fine
Domestic-Ddog-matrix1.csv ,Spatial,48,160,5.375,3.005319149,90.77346869,0.490722656,7,0.271612859,0.508126604,9.13461015,0.705921393,0.156028369,6.666666667,2,0.180886039,0.026839992,0.007327164,0.190933501,Domestic_Ddog_matrix1.csv ,Domestic-Ddog-matrix1.csv ,No,Spatial_proximity,RFID,Canis_familiaris,12,Mammalia,Very_fine
Domestic-Ddog-matrix2.csv ,Spatial,60,191,6.466666667,3.572316384,112.9105725,0.571845618,8,0.421145708,0.498468606,9.037927639,0.842021342,0.180225989,6.366666667,1,0.101229471,0.015007384,0.00485798,0.14900492,Domestic_Ddog_matrix2.csv ,Domestic-Ddog-matrix2.csv ,No,Spatial_proximity,RFID,Canis_familiaris,12,Mammalia,Very_fine
Giraffe-edgelist-matriz.csv ,Spatial,194,9488,2.12371134,1.494418033,823.6502867,0.260094266,3,0.017504894,0.719830344,106.2084888,0.358119852,0.301479622,97.81443299,36,21.07148402,0.270055389,0.003493105,0.184434513,Giraffe_edgelist_matriz.csv ,Giraffe-edgelist-matriz.csv ,No,Group_membership,survey_scan,Giraffa_camelopardalis,180,Mammalia,Focal_follow
insecta-ant-colony1-day01,Spatial,113,4550,2,1.280973451,443.4500994,0.126480763,2,0.00389731,0.785725994,82.7382177,0.249892688,0.254187737,80.53097345,42,37.84823287,0.599538366,0.007032094,-0.030060522,insecta-ant-colony1-day01,insecta-ant-colony1-day01,Yes,Physical_contact,video,Camponotus_fellah,1,Insecta,Very_fine
insecta-ant-colony1-day02,Spatial,113,4573,2,1.277338812,438.4247637,0.100558288,2,0.00442861,0.79731615,83.66146765,0.227298964,0.223767383,80.9380531,27,25.96124586,0.598353543,0.007058992,0.019803092,insecta-ant-colony1-day02,insecta-ant-colony1-day02,Yes,Physical_contact,video,Camponotus_fellah,1,Insecta,Very_fine
insecta-ant-colony1-day03,Spatial,113,4483,2.044247788,1.292193426,429.4006795,0.101339614,3,0.00819643,0.798995882,82.78558123,0.222820011,0.220132743,79.34513274,27,22.99494099,0.562267589,0.006987489,0.071673572,insecta-ant-colony1-day03,insecta-ant-colony1-day03,Yes,Physical_contact,video,Camponotus_fellah,1,Insecta,Very_fine
insecta-ant-colony1-day04,Spatial,113,4094,2.053097345,1.353666245,446.622712,0.153226933,3,0.007008162,0.752609367,75.71876326,0.280381267,0.254819848,72.46017699,27,22.21180312,0.498339167,0.006656658,0.069785094,insecta-ant-colony1-day04,insecta-ant-colony1-day04,Yes,Physical_contact,video,Camponotus_fellah,1,Insecta,Very_fine
insecta-ant-colony1-day05,Spatial,113,4149,2,1.344342604,450.8659185,0.13987007,2,0.008725123,0.754118406,76.637265,0.26303751,0.246128319,73.43362832,27,23.40736832,0.526850232,0.006704596,0.049265825,insecta-ant-colony1-day05,insecta-ant-colony1-day05,Yes,Physical_contact,video,Camponotus_fellah,1,Insecta,Very_fine
