,GraphNames,order,edges,connected,max_component,minDegree,maxDegree,mean_degree,minCut,FiedlerValue,Normalized_FiedlerValue,closeness_centr,modularity,diameter,betw_centr,transitivity,threshold,spectral_radius,eigen_centr,deg_centr,mean_eccentr,radius,mean_path_length,graph_energy,min_triangle,mean_triangle,sd_triangle,max_triangle,num_triangle,deg_assort_coef
726,mammalia-voles-rob-trapping-03,26,47,1,26,1,9,3.615384615,1,0.056483156,0.017993869,0.011096514,0.427569036,9,0.400933333,0.491803279,0.180462034,5.541331753,0.767603507,0.215384615,7.192307692,5,3.747692308,39.87590777,0,3.461538462,3.96212841,15,90,0.088642659
727,mammalia-voles-rob-trapping-04,43,74,1,43,1,10,3.441860465,1,0.031170561,0.009163232,0.005533688,0.651113952,10,0.630081301,0.486792453,0.184077875,5.432483395,0.85033361,0.156146179,8.139534884,5,4.481727575,63.77464248,0,3,3.062834044,13,129,0.02670174
728,mammalia-voles-rob-trapping-05,16,27,1,16,1,7,3.375,1,0.172794195,0.07448132,0.027111751,0.320301783,5,0.446984127,0.5,0.221017196,4.524534828,0.662586215,0.241666667,4.3125,3,2.566666667,24.40055012,0,2.8125,2.561737691,9,45,-0.049019608
729,mammalia-voles-rob-trapping-06,53,81,1,53,1,7,3.056603774,1,0.017043088,0.005535357,0.002943816,0.724508459,15,0.3551021,0.46875,0.222801051,4.488309176,0.901043795,0.075834543,12.09433962,8,6.769956459,77.59863364,0,1.981132075,2.125762904,9,105,0.175285672
730,mammalia-voles-rob-trapping-07,18,26,1,18,1,7,2.888888889,1,0.063874366,0.023759524,0.015615684,0.552514793,9,0.386245675,0.515625,0.255961801,3.906832963,0.805978892,0.241830065,7.388888889,5,3.908496732,25.78726053,0,1.833333333,1.823054967,6,33,-0.115158637
731,mammalia-voles-rob-trapping-08,5,5,1,5,1,3,2,1,0.518805696,0.345942668,0.152698413,0.22,3,0.541666667,0.5,0.451605963,2.214319743,0.509826999,0.25,2.6,2,1.7,6.428639487,0,0.6,0.547722558,1,3,-0.111111111
732,mammalia-voles-rob-trapping-09,6,9,1,6,1,5,3,1,1,0.739562645,0.148082011,0,2,0.48,0.652173913,0.293799489,3.403681888,0.399079528,0.4,1.833333333,1,1.4,8.289211746,0,2.5,1.643167673,4,15,-0.636363636
733,mammalia-voles-rob-trapping-10,30,45,1,30,1,6,3,1,0.107213954,0.040017899,0.009706649,0.557777778,8,0.306692713,0.319672131,0.263019429,3.802000497,0.646596611,0.103448276,6.366666667,4,3.698850575,43.17853944,0,1.3,1.235955585,4,39,-0.071681207
734,mammalia-voles-rob-trapping-11,56,152,1,56,1,15,5.428571429,1,0.090159534,0.017190351,0.004790909,0.630020776,8,0.338541633,0.589595376,0.122093689,8.190431547,0.828869651,0.174025974,6.678571429,4,3.91038961,100.2154217,0,9.107142857,8.247707277,38,510,0.239831894
735,mammalia-voles-rob-trapping-12,21,33,1,21,1,6,3.142857143,1,0.129206341,0.041946164,0.016297004,0.471533517,7,0.437368421,0.483870968,0.255313001,3.916760982,0.697626585,0.142857143,5.619047619,4,3.185714286,31.48918811,0,2.142857143,1.651838802,6,45,-0.045515395
736,mammalia-voles-rob-trapping-13,60,111,1,60,1,9,3.7,1,0.037833041,0.012301407,0.003600214,0.693166139,14,0.550565137,0.465277778,0.176807028,5.655883754,0.841125066,0.089830508,10.06666667,7,4.949717514,93.08082143,0,3.35,3.328485175,12,201,0.147080445
737,mammalia-voles-rob-trapping-14,24,50,1,24,1,9,4.166666667,1,0.171074167,0.062858366,0.014900518,0.5048,7,0.437532222,0.642857143,0.174906681,5.717334479,0.692345012,0.210144928,5.458333333,4,3.079710145,39.28292155,0,5.625,4.915039033,16,135,0.309859155
738,mammalia-voles-rob-trapping-15,6,9,1,6,2,5,3,2,1,0.426485294,0.146428571,0.12345679,2,0.6,0.714285714,0.306578978,3.261802245,0.434549439,0.4,1.833333333,1,1.4,9.203358264,1,2.5,1.224744871,4,15,-0.363636364
739,mammalia-voles-rob-trapping-16,23,39,1,23,1,6,3.391304348,1,0.184347664,0.057323298,0.015318359,0.591058514,6,0.419880624,0.559322034,0.232576782,4.299655332,0.74072556,0.118577075,5.086956522,4,3.035573123,35.37750761,0,2.869565217,2.282429882,7,66,0.01282484
740,mammalia-voles-rob-trapping-17,11,22,1,11,1,7,4,1,0.405796277,0.140037835,0.05504966,0.305785124,3,0.504444444,0.785714286,0.196219663,5.096329222,0.52327222,0.3,2.727272727,2,1.872727273,16.96227219,0,6,4.816637832,11,66,0.047080979
741,mammalia-voles-rob-trapping-18,14,21,1,14,1,5,3,1,0.182392002,0.072730938,0.030852586,0.529478458,5,0.602564103,0.588235294,0.279010343,3.584096517,0.584228626,0.153846154,4.142857143,3,2.593406593,20.51584817,0,2.142857143,1.406421693,4,30,0.158469945
742,mammalia-voles-rob-trapping-19,8,9,1,8,1,3,2.25,1,0.250882452,0.134853581,0.063239575,0.401234568,5,0.394557823,0.461538462,0.401467183,2.490863615,0.459728782,0.107142857,4,3,2.357142857,10.74049771,0,0.75,0.46291005,1,6,0.068965517
743,mammalia-voles-rob-trapping-20,19,24,1,19,1,4,2.526315789,1,0.055190581,0.023735935,0.012586992,0.615451389,11,0.335148874,0.418604651,0.340022625,2.940980762,0.668863208,0.081871345,8.736842105,6,4.602339181,26.1746762,0,0.947368421,0.705036186,2,18,-0.003802281
744,mammalia-voles-rob-trapping-21,46,82,1,46,1,8,3.565217391,1,0.042240676,0.01377989,0.005183027,0.639277216,11,0.493113356,0.420863309,0.207253882,4.825000098,0.792255954,0.098550725,8.456521739,6,4.428019324,72.03374584,0,2.543478261,1.797609793,8,117,-0.087880299
745,mammalia-voles-rob-trapping-22,59,112,1,59,1,10,3.796610169,1,0.023807633,0.007369092,0.003118199,0.723373724,15,0.39963911,0.607058824,0.160577483,6.227523201,0.898665063,0.106954997,11.49152542,8,5.779076563,92.80832317,0,4.372881356,4.816989706,21,258,0.155633585
746,mammalia-voles-rob-trapping-23,46,81,1,46,1,8,3.52173913,1,0.028871286,0.009760849,0.004537116,0.679622009,11,0.415331089,0.523131673,0.194393898,5.144194404,0.849341676,0.099516908,9.173913043,6,5.07826087,70.04974673,0,3.195652174,3.152562028,12,147,0.090197413
747,mammalia-voles-rob-trapping-24,46,89,1,46,1,8,3.869565217,1,0.066217534,0.019244812,0.005609455,0.62725666,10,0.412420929,0.47318612,0.210005022,4.761790895,0.686443233,0.09178744,7.695652174,5,4.098550725,74.42178743,0,3.260869565,1.925671976,8,150,-0.115669516
748,mammalia-voles-rob-trapping-25,26,66,1,26,1,10,5.076923077,1,0.110544772,0.024122006,0.014666928,0.543732782,7,0.607466667,0.778097983,0.141433274,7.07047198,0.723699499,0.196923077,5.346153846,4,2.821538462,43.37756124,0,10.38461538,8.438373886,22,270,0.241946685
749,mammalia-voles-rob-trapping-26,5,6,1,5,1,3,2.4,1,0.829913513,0.565741454,0.173571429,0.111111111,3,0.416666667,0.6,0.378617719,2.641186476,0.341377999,0.15,2.4,2,1.5,6.729857198,0,1.2,0.836660027,2,6,-0.285714286
